"","X","StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","consent","base_knowledge","admission","acceptance","crime","influx","threat_perception","voting","ideology","party","immigrant_status","Q14","race","age","income","gender","religion","Q20","MobileDev","Q_TotalDuration","AmazonId","treatment","educ_d","education","age_binned","admission_dichotimized","acceptance_dichotimized","crime_dichotimized","influx_dichotimized","threat_dichotimized","voting_dichotimized","weight"
"1",303,"2021-12-06 10:11:03","2021-12-06 10:12:09","IP Address","45.145.55.29",100,65,"True","2021-12-06 10:12:09","R_01T8XUzgfdUpHRn",NA,NA,NA,NA,34.0543975830078,-118.244094848633,"anonymous","EN",1,1,1,0,0,1,0,0,0,"Other",0,"Associate degree","Asian or Pacific Islander",24,"$35,000 to $49,999","Male","Agnostic","goood",0,65,"A5EJIYUVKS41G","border security","Some college/Associates","Associate or less","18 to 24",0,0,0,0,0,0,6
"2",304,"2021-12-06 10:12:03","2021-12-06 10:12:54","IP Address","45.87.62.45",100,50,"True","2021-12-06 10:12:54","R_2eQnZkeQNJsXe83",NA,NA,NA,NA,32.8137054443359,-96.8703994750977,"anonymous","EN",1,2,2,1,-2,1,2,-2,-2,"Democrat",1,"Bachelor's degree","White",29,"$50,000 to $74,999","Male","Catholic ","Interested",0,50,"A36A2JLZUOPNUM","border security","Bachelor's degree","Bachelor or higher","25 to 39",0,0,1,0,0,1,0.29946735993746
"3",305,"2021-12-06 10:10:57","2021-12-06 10:13:16","IP Address","181.59.184.157",100,138,"True","2021-12-06 10:13:16","R_3F370xT680M88Ne",NA,NA,NA,NA,6.25289916992188,-75.5645980834961,"anonymous","EN",1,1,-1,0,0,0,0,0,0,"Other",0,"Bachelor's degree","Black or African American",32,"Less than $20,000","Male","None","No",0,138,"A1K61OKMPRZUML","control","Bachelor's degree","Bachelor or higher","25 to 39",1,0,0,0,0,0,0.862073084052602
"4",306,"2021-12-06 10:11:40","2021-12-06 10:13:26","IP Address","96.40.113.191",100,105,"True","2021-12-06 10:13:26","R_2S6vRzNN4SCuvYA",NA,NA,NA,NA,33.7834930419922,-118.13159942627,"anonymous","EN",1,1,1,1,0,1,0,1,0,"Democrat",0,"Bachelor's degree","Hispanic or Latino",34,"$35,000 to $49,999","Male","Catholic ","",0,105,"A26M997VYVK0E6","control","Bachelor's degree","Bachelor or higher","25 to 39",0,0,0,0,0,0,0.649451997082979
"5",307,"2021-12-06 10:11:38","2021-12-06 10:13:32","IP Address","98.223.1.30",100,114,"True","2021-12-06 10:13:33","R_2w7F4MQfkcESiU3",NA,NA,NA,NA,42.0048065185547,-87.9953994750977,"anonymous","EN",1,0,1,1,0,1,-1,0,-1,"Democrat",1,"Master's degree","Asian or Pacific Islander",33,"$50,000 to $74,999","Male","Other","No",0,114,"A2VO8C41JJIQY9","traditional security","Postgraduate degree","Bachelor or higher","25 to 39",0,0,0,0,1,0,0.291904884323196
"6",308,"2021-12-06 10:09:06","2021-12-06 10:13:48","IP Address","76.86.236.35",100,281,"True","2021-12-06 10:13:48","R_2fdM55QVbbFiw0h",NA,NA,NA,NA,34.12109375,-117.43620300293,"anonymous","EN",1,0,-1,-1,-1,-1,1,-1,1,"Other",0,"Bachelor's degree","White",33,"$35,000 to $49,999","Male","Atheist","",0,281,"A2541C8MY0BYV3","traditional security","Bachelor's degree","Bachelor or higher","25 to 39",1,1,1,1,0,1,0.470898209055271
"7",310,"2021-12-06 10:09:51","2021-12-06 10:16:12","IP Address","66.30.168.144",100,380,"True","2021-12-06 10:16:12","R_24Pi3nrXkOpuA8O",NA,NA,NA,NA,42.0590057373047,-71.1122970581055,"anonymous","EN",1,1,2,0,0,2,-2,0,-2,"Democrat",0,"Bachelor's degree","White",34,"$50,000 to $74,999","Male","Atheist","",0,380,"A1M682B2WUSYJP","traditional security","Bachelor's degree","Bachelor or higher","25 to 39",0,0,0,0,1,0,0.29946735993746
"8",311,"2021-12-06 10:09:52","2021-12-06 10:16:26","IP Address","64.72.115.102",100,393,"True","2021-12-06 10:16:26","R_DIFTM8PsnOfYZEZ",NA,NA,NA,NA,44.1551971435547,-93.9961013793945,"anonymous","EN",1,1,1,0,-2,-1,1,-1,-1,"Democrat",0,"Associate degree","White",24,"Less than $20,000","Male","Protestant","na",0,393,"AK77EA1UZ8KJG","control","Some college/Associates","Associate or less","18 to 24",0,0,1,1,0,1,3.06966313259702
"9",312,"2021-12-06 10:11:50","2021-12-06 10:18:45","IP Address","207.228.63.43",100,415,"True","2021-12-06 10:18:45","R_1n6mzeYY4VgBdeN",NA,NA,NA,NA,29.8477935791016,-95.6598968505859,"anonymous","EN",1,2,2,0,0,1,0,1,2,"Democrat",0,"Bachelor's degree","White",46,"$50,000 to $74,999","Female","Protestant","thanks ",0,415,"A2USQHPK86UH8Y","control","Bachelor's degree","Bachelor or higher","40 to 59",0,0,0,0,0,0,0.477924450816928
"10",313,"2021-12-06 10:18:27","2021-12-06 10:20:20","IP Address","68.204.203.77",100,113,"True","2021-12-06 10:20:21","R_1jB70Ht0vlIJVG2",NA,NA,NA,NA,28.5274047851562,-81.6011962890625,"anonymous","EN",1,1,0,-2,-1,-1,2,-2,1,"Republican",1,"Technical or occupational certificate","Asian or Pacific Islander",43,"$35,000 to $49,999","Male","Protestant","",0,113,"A23KAJRDVCVGOE","traditional security","Some college/Associates","Associate or less","40 to 59",0,1,1,1,0,1,4.40061912526924
"11",314,"2021-12-06 10:18:41","2021-12-06 10:21:04","IP Address","45.41.224.54",100,142,"True","2021-12-06 10:21:04","R_10YrpC51hfhhZjV",NA,NA,NA,NA,36.0382995605469,-115.144599914551,"anonymous","EN",1,2,2,2,-1,2,1,2,2,"Republican",1,"Master's degree","White",46,"Over $100,000","Female","Jewish","good survey",0,142,"A11EMC3RF4GP4X","traditional security","Postgraduate degree","Bachelor or higher","40 to 59",0,0,1,0,0,0,0.780842809307249
"12",315,"2021-12-06 10:20:10","2021-12-06 10:21:43","IP Address","23.177.176.18",100,93,"True","2021-12-06 10:21:44","R_22mDLggYM9aBWTx",NA,NA,NA,NA,37.5731048583984,-122.053901672363,"anonymous","EN",1,2,1,1,1,2,1,2,1,"Democrat",0,"High school or equivalent","White",31,"$20,000 to $34,999","Female","Catholic ","none",0,93,"AN14X2MKVY77B","control","High school or less","Associate or less","25 to 39",0,0,0,0,0,0,0.869561900918844
"13",316,"2021-12-06 10:21:59","2021-12-06 10:25:11","IP Address","170.39.185.97",100,191,"True","2021-12-06 10:25:11","R_2duMoYuKB9IC0LS",NA,NA,NA,NA,39.0180053710938,-77.5390014648438,"anonymous","EN",1,1,-1,-2,0,1,1,0,-1,"Democrat",0,"Bachelor's degree","White",25,"$35,000 to $49,999","Male","Agnostic","",0,191,"A2B5Z0P760IMDC","control","Bachelor's degree","Bachelor or higher","25 to 39",1,1,0,0,0,0,0.29946735993746
"14",317,"2021-12-06 10:20:08","2021-12-06 10:27:19","IP Address","107.11.182.13",100,431,"True","2021-12-06 10:27:20","R_1QftmszaYsxQYeB",NA,NA,NA,NA,40.2738037109375,-81.8662033081055,"anonymous","EN",1,1,1,1,0,1,0,0,-1,"Democrat",0,"Bachelor's degree","White",46,"$50,000 to $74,999","Female","Spiritual—not religious","none",0,431,"A1JJYY622DGE5L","border security","Bachelor's degree","Bachelor or higher","40 to 59",0,0,0,0,0,0,0.477924450816928
"15",318,"2021-12-06 10:24:05","2021-12-06 10:27:48","IP Address","199.255.69.217",100,223,"True","2021-12-06 10:27:48","R_QbOdFT1qWRhvxJf",NA,NA,NA,NA,36.6739044189453,-88.4253997802734,"anonymous","EN",1,0,2,2,0,0,-2,1,-2,"Democrat",0,"Bachelor's degree","White",29,"$50,000 to $74,999","Male","Agnostic","No",0,223,"A12FTSX85NQ8N9","traditional security","Bachelor's degree","Bachelor or higher","25 to 39",0,0,0,0,1,0,0.29946735993746
"16",319,"2021-12-06 10:29:31","2021-12-06 10:31:42","IP Address","72.24.233.212",100,131,"True","2021-12-06 10:31:42","R_2fqTWng4czvvkMP",NA,NA,NA,NA,34.6011047363281,-112.325897216797,"anonymous","EN",1,0,-2,-2,-2,-1,1,-2,2,"Republican",0,"Bachelor's degree","White",31,"$50,000 to $74,999","Male","Agnostic","",0,131,"AETIZKQNUSBLB","border security","Bachelor's degree","Bachelor or higher","25 to 39",1,1,1,1,0,1,0.392022400771548
"17",320,"2021-12-06 10:38:52","2021-12-06 10:40:33","IP Address","212.162.148.40",100,100,"True","2021-12-06 10:40:33","R_273DJeBA6Tqk02j",NA,NA,NA,NA,41.8777008056641,-87.6376037597656,"anonymous","EN",1,2,2,1,0,0,1,-1,-1,"Republican",1,"Bachelor's degree","White",24,"$35,000 to $49,999","Male","Catholic ","none",0,100,"A1N8Q3IFZ67GOY","traditional security","Bachelor's degree","Bachelor or higher","18 to 24",0,0,0,0,0,1,0.972301713915271
"18",321,"2021-12-06 10:36:13","2021-12-06 10:41:46","IP Address","24.233.108.39",100,332,"True","2021-12-06 10:41:46","R_1ltwIEabsdHmmmT",NA,NA,NA,NA,43.2873992919922,-71.3351974487305,"anonymous","EN",1,1,0,0,0,-2,0,-1,0,"Other",0,"High school or equivalent","White",44,"$20,000 to $34,999","Male","Atheist","illegal immigration needs to be under control",0,332,"A2EI075XZT9Y2S","control","High school or less","Associate or less","40 to 59",0,0,0,1,0,1,6
"19",322,"2021-12-06 10:41:10","2021-12-06 10:42:23","IP Address","45.87.62.33",100,72,"True","2021-12-06 10:42:23","R_1GWBRZ4S5xiCxMb",NA,NA,NA,NA,32.8137054443359,-96.8703994750977,"anonymous","EN",1,2,-2,0,2,0,0,0,-1,"Democrat",1,"Bachelor's degree","White",24,"$35,000 to $49,999","Male","Catholic ","none",0,72,"A1YH1WHYO3IFOC","border security","Bachelor's degree","Bachelor or higher","18 to 24",1,0,0,0,0,0,0.565798436824994
"20",323,"2021-12-06 10:41:22","2021-12-06 10:43:15","IP Address","24.167.174.235",100,113,"True","2021-12-06 10:43:16","R_3m8gWplNHlU5UZt",NA,NA,NA,NA,36.0216979980469,-79.7838973999023,"anonymous","EN",1,1,2,2,0,-1,-1,0,-1,"Democrat",0,"Associate degree","White",67,"$20,000 to $34,999","Male","Other","no",0,113,"A19WXS1CLVLEEX","control","Some college/Associates","Associate or less","60+",0,0,0,1,1,0,6
"21",324,"2021-12-06 10:42:35","2021-12-06 10:44:00","IP Address","173.27.185.86",100,84,"True","2021-12-06 10:44:00","R_1mPHXlYBqi9gcDM",NA,NA,NA,NA,30.4002990722656,-87.0288009643555,"anonymous","EN",1,1,-1,0,-1,0,1,0,1,"Other",0,"Bachelor's degree","White",32,"$50,000 to $74,999","Male","Other","",0,84,"A24Z9RP5YZZ2TY","traditional security","Bachelor's degree","Bachelor or higher","25 to 39",1,0,1,0,0,0,0.470898209055271
"22",325,"2021-12-06 10:43:46","2021-12-06 10:45:01","IP Address","170.39.186.70",100,74,"True","2021-12-06 10:45:01","R_yt0VLRe5MC60Nzj",NA,NA,NA,NA,39.0180053710938,-77.5390014648438,"anonymous","EN",1,2,1,1,1,1,0,-1,-1,"Democrat",1,"Bachelor's degree","White",24,"$35,000 to $49,999","Male","Catholic ","none",0,74,"A259OBKPBBIOAJ","border security","Bachelor's degree","Bachelor or higher","18 to 24",0,0,0,0,0,1,0.565798436824994
"23",326,"2021-12-06 10:44:58","2021-12-06 10:46:11","IP Address","66.91.211.85",100,73,"True","2021-12-06 10:46:12","R_po5Z8MTjLqVJix3",NA,NA,NA,NA,21.2816925048828,-157.824996948242,"anonymous","EN",1,0,0,0,0,0,0,-1,-1,"Democrat",0,"Bachelor's degree","White",41,"$50,000 to $74,999","Female","Agnostic","No",0,73,"AV22FQTJNBUZT","border security","Bachelor's degree","Bachelor or higher","40 to 59",0,0,0,0,0,1,0.477924450816928
"24",327,"2021-12-06 10:52:46","2021-12-06 10:54:30","IP Address","73.173.103.253",100,103,"True","2021-12-06 10:54:30","R_2rOeffGvxLODQDc",NA,NA,NA,NA,39.21240234375,-76.8776016235352,"anonymous","EN",1,1,1,1,1,-1,-2,0,-1,"Democrat",0,"Bachelor's degree","White",27,"$20,000 to $34,999","Male","Agnostic","",0,103,"A272X64FOZFYLB","control","Bachelor's degree","Bachelor or higher","25 to 39",0,0,0,1,1,0,0.29946735993746
"25",328,"2021-12-06 10:55:30","2021-12-06 10:57:11","IP Address","208.203.208.191",100,100,"True","2021-12-06 10:57:11","R_21zxecLwofbYLMB",NA,NA,NA,NA,40.7973022460938,-73.6473007202148,"anonymous","EN",1,2,-1,1,0,1,1,-1,1,"Democrat",1,"Bachelor's degree","White",37,"$50,000 to $74,999","Female","Catholic ","no",0,100,"A24D5B7GFP90PT","traditional security","Bachelor's degree","Bachelor or higher","25 to 39",1,0,0,0,0,1,0.29946735993746
"26",329,"2021-12-06 10:55:50","2021-12-06 10:57:35","IP Address","24.96.75.62",100,104,"True","2021-12-06 10:57:35","R_3gXzGDKyRiEdIuz",NA,NA,NA,NA,34.7095031738281,-86.7360992431641,"anonymous","EN",1,1,0,-1,0,-2,-1,0,0,"Other",0,"Bachelor's degree","White",35,"Over $100,000","Female","Agnostic","",0,104,"A38I0E8UK53ME5","control","Bachelor's degree","Bachelor or higher","25 to 39",0,1,0,1,1,0,0.470898209055271
"27",330,"2021-12-06 10:56:16","2021-12-06 10:57:43","IP Address","45.143.144.45",100,87,"True","2021-12-06 10:57:44","R_1q96c9zuh2IvZBh",NA,NA,NA,NA,39.0180053710938,-77.5390014648438,"anonymous","EN",1,1,1,0,0,1,1,0,-1,"Democrat",0,"Bachelor's degree","White",32,"$50,000 to $74,999","Male","Catholic ","",0,87,"A2DNLSM6M90X5B","border security","Bachelor's degree","Bachelor or higher","25 to 39",0,0,0,0,0,0,0.29946735993746
"28",331,"2021-12-06 10:36:38","2021-12-06 11:01:34","IP Address","73.155.77.237",100,1495,"True","2021-12-06 11:01:34","R_1mCxlaH68ufCmpj",NA,NA,NA,NA,29.6855926513672,-95.1185989379883,"anonymous","EN",1,1,2,2,0,1,-1,1,-1,"Democrat",0,"High school or equivalent","White",33,"$35,000 to $49,999","Female","Protestant","none tysm",0,1495,"A304UJAE051J89","traditional security","High school or less","Associate or less","25 to 39",0,0,0,0,1,0,0.869561900918844
"29",332,"2021-12-06 11:05:55","2021-12-06 11:19:11","IP Address","71.77.155.238",100,796,"True","2021-12-06 11:19:12","R_26nGTtF8xUSOEIW",NA,NA,NA,NA,35.1873016357422,-79.4729995727539,"anonymous","EN",1,1,2,2,0,2,-2,2,-2,"Democrat",1,"Professional","White",60,"Less than $20,000","Female","Agnostic","",0,796,"A3FNC8ELMK8YJA","traditional security","Postgraduate degree","Bachelor or higher","60+",0,0,0,0,1,0,1.29193445424344
"30",333,"2021-12-06 11:21:47","2021-12-06 11:24:50","IP Address","24.88.15.124",100,183,"True","2021-12-06 11:24:50","R_3edTZXa3LrabKsY",NA,NA,NA,NA,36.3733062744141,-79.9635009765625,"anonymous","EN",1,1,1,1,1,1,-1,1,-1,"Democrat",0,"Bachelor's degree","White",42,"$50,000 to $74,999","Male","Agnostic","none",0,183,"A3GVUYY3TWRPZT","control","Bachelor's degree","Bachelor or higher","40 to 59",0,0,0,0,1,0,0.477924450816928
"31",334,"2021-12-06 11:32:12","2021-12-06 11:34:45","IP Address","73.236.40.189",100,153,"True","2021-12-06 11:34:46","R_2PhDRo1e73weOjU",NA,NA,NA,NA,41.0265960693359,-80.3498001098633,"anonymous","EN",1,1,0,2,1,2,-1,1,-1,"Other",0,"Some college coursework completed","White",60,"$35,000 to $49,999","Male","Agnostic","no",0,153,"A1V2H0UF94ATWY","border security","Some college/Associates","Associate or less","60+",0,0,0,0,1,0,6
"32",335,"2021-12-06 11:38:47","2021-12-06 11:40:01","IP Address","202.182.67.251",100,74,"True","2021-12-06 11:40:01","R_1jBuLjJ11ygdVso",NA,NA,NA,NA,40.6078033447266,-73.8215026855469,"anonymous","EN",1,2,1,0,1,1,2,1,-1,"Democrat",1,"Bachelor's degree","White",35,"$75,000 to $99,999","Male","Catholic ","good",0,74,"A10XTYSN613U91","control","Bachelor's degree","Bachelor or higher","25 to 39",0,0,0,0,0,0,0.29946735993746
"33",336,"2021-12-06 11:42:16","2021-12-06 11:44:47","IP Address","173.169.77.229",100,150,"True","2021-12-06 11:44:47","R_1nSZfzQpCWYJIPC",NA,NA,NA,NA,27.9600067138672,-82.4614028930664,"anonymous","EN",1,1,0,0,0,1,0,0,-1,"Other",0,"Bachelor's degree","White",62,"$35,000 to $49,999","Female","Spiritual—not religious","",0,150,"A198MSVO1VTAT5","traditional security","Bachelor's degree","Bachelor or higher","60+",0,0,0,0,0,0,3.63027702268259
