StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q3,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,MobileDev,Q_TotalDuration,AmazonId,treatment
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"University of California, San Diego
Consent to Act as a Research Subject

Description: Researchers at the University of California, San Diego are inviting you to participate in a research study on political preferences and voting behavior. Participation in this survey should take about 10 minutes. Your participation is voluntary. 
Incentives and Costs: You will be paid $1.25 USD for completing this survey. There will be no cost to you for participating in this study.

Risks: Your participation in this study does not involve any risk to you beyond that of everyday life.
Confidentiality: Your Mechanical Turk Worker ID will be used to distribute payment to you but will not be stored with the research data we collect from you. Please be aware that your MTurk Worker ID can potentially be linked to information about you on your Amazon public profile page, depending on the settings you have for your Amazon profile. We will not be accessing any
personally identifying information about you that you may have put on your Amazon public profile page. 
Alternatives to Participation: Your participation in this study is entirely voluntary. You may choose to withdraw at any time. 
Withdrawal Without Consent: The PI may remove you from the study without your consent if the PI feels it is in your best interest or the best interest of the study. You may also be withdrawn from the study if you do not follow the instructions given you by the
study personnel. 
Contacts and Questions: If you have other questions or research-related problems, you can contact the researcher at 510-585-6419 or email at mslu@ucsd.edu . You may also call the UCSD Human Research Protections Program Office at 858-246-HRPP (858-246-4777) to inquire about your rights as a research subject or to report research-related problems. 
Consent: By agreeing to participate in this research, you confirm that you have read this consent information, are at least 18 years old, and provide your consent to participate. If you choose not to participate, the survey will end immediately. Please print or save a
copy of this page for your records.",How familiar are you with refugee resettlement and the asylum seeker in the United States?,Which statement do you agree with the most?,Which statement do you agree with the most?,Which statement do you agree with the most?,To what extent do you agree/disagree with the following statement: US borders are safe and secure.,To what extent do you agree/disagree with the statement: Allowing refugees/asylum seeker into the United States poses a danger to US residents.,"If one of your senators voted in favor of increasing the admission of refugees, would that make you more or less likely to vote for the senator?",How would you describe yourself politically?,What party do you identify with?,What is your immigration background?,What is your highest level of education?,What is your race?,What is your age?,What is your annual income?,What is your gender?,What is your religious identity?,Do you have any feedback for this survey?,MobileDev,Q_TotalDuration,AmazonId,treatment
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID22""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID15""}","{""ImportId"":""QID25""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID26_TEXT""}","{""ImportId"":""MobileDev""}","{""ImportId"":""Q_TotalDuration""}","{""ImportId"":""AmazonId""}","{""ImportId"":""treatment""}"
2021-12-06 00:11:44,2021-12-06 00:11:44,Survey Test,,100,0,True,2021-12-06 00:11:44,R_1ZCar3jzuMWL7Aq,,,,,32.8594970703125,-117.21240234375,test,,I agree to participate,Somewhat familiar,The United States should greatly decrease admissions of refugees and asylum seekers.,My city of residence should resettle significantly less refugees and asylum seekers.,Refugees/asylum seekers are somewhat more dangerous than the average resident in the US.,Strongly disagree,Disagree,Significantly less likely,Conservative,Republican,"Not an immigrant, parents are not immigrants, but at least one grandparent is an immigrant",Bachelor's degree,"Asian or Pacific Islander, not Hispanic/Latino",105,"$20,000 to $34,999",Male,Atheist,Lectus primis gravida! Velit? Vehicula vehicula eget laoreet ut laoreet tincidunt.,0,0,,"Some policymakers highlight the dangers of accepting refugees and asylum seekers. They say there is a risk of the refugee or asylum seeker being a member of a gang or terrorist group, and increasing admissions would increase crime in the United States."
2021-12-06 00:11:45,2021-12-06 00:11:45,Survey Test,,100,0,True,2021-12-06 00:11:45,R_8cR9aaULNwJwT6S,,,,,32.8594970703125,-117.21240234375,test,,I agree to participate,Somewhat familiar,The United States should greatly increase admissions of refugees and asylum seekers.,My city of residence should resettle somewhat more refugees and asylum seekers.,Refugees/asylum seekers are significantly less dangerous than the average resident in the US.,Agree,Agree,Less likely,Conservative,Democratic,Immigrant (foreign born),Bachelor's degree,"White, not Hispanic/Latino",70,"$35,000 to $49,999",Female,Secular,"Faucibus quam. Massa scelerisque dolorem justo ab ultricies pede suspendisse, primis, tellus phasellus etiam.",0,0,,There is an ongoing discussion on how to reform asylum and refugee policy.
2021-12-06 00:11:45,2021-12-06 00:11:45,Survey Test,,100,0,True,2021-12-06 00:11:45,R_aV65EWlBrTb8Nv0,,,,,32.8594970703125,-117.21240234375,test,,I do not agree to participate,,,,,,,,,,,,,,,,,,0,0,,
2021-12-06 00:11:45,2021-12-06 00:11:45,Survey Test,,100,0,True,2021-12-06 00:11:45,R_8CwMVelLGVLDdKC,,,,,32.8594970703125,-117.21240234375,test,,I agree to participate,Very familiar,The United States should somewhat decrease admissions of refugees and asylum seekers.,My city of residence should resettle the same number of refugees and asylum seekers.,Refugees/asylum seekers are somewhat less dangerous than the average resident in the US.,Agree,Agree,Significantly more likely,Very Liberal,Republican,"Not an immigrant, parents are not immigrants, but at least one grandparent is an immigrant",Some college coursework completed,"Asian or Pacific Islander, not Hispanic/Latino",101,"Less than $20,000",Female,Buddhist,Platea a euismod mauris eget nunc aenean per rutrum etiam odio pharetra.,0,0,,"Some policymakers highlight chaos at the southern border. They say the overwhelming influx of illegal immigrants and asylum seekers trying to enter the country has caused loss of control of the border, delegitimizing our asylum system."
2021-12-06 00:11:45,2021-12-06 00:11:45,Survey Test,,100,0,True,2021-12-06 00:11:45,R_3DEKAAjMCtRK5WS,,,,,32.8594970703125,-117.21240234375,test,,I agree to participate,Very familiar,The United States should somewhat decrease admissions of refugees and asylum seekers.,My city of residence should resettle the same number of refugees and asylum seekers.,Refugees/asylum seekers are significantly less dangerous than the average resident in the US.,Disagree,Neither agree nor disagree,Less likely,Very Conservative,Republican,Immigrant (foreign born),Other,Other,85,"Less than $20,000",Prefer not to say,"Catholic ",Porta eu dapibus proin ultrices neque gravida lacus praesent quam odio. A a mi? Pretium.,0,0,,There is an ongoing discussion on how to reform asylum and refugee policy.
2021-12-06 00:11:45,2021-12-06 00:11:45,Survey Test,,100,0,True,2021-12-06 00:11:45,R_7UTH4v9wF86nPL0,,,,,32.8594970703125,-117.21240234375,test,,I do not agree to participate,,,,,,,,,,,,,,,,,,0,0,,
2021-12-06 00:11:45,2021-12-06 00:11:45,Survey Test,,100,0,True,2021-12-06 00:11:45,R_6g2yVEX1V5fELzg,,,,,32.8594970703125,-117.21240234375,test,,I do not agree to participate,,,,,,,,,,,,,,,,,,0,0,,
2021-12-06 00:11:45,2021-12-06 00:11:45,Survey Test,,100,0,True,2021-12-06 00:11:45,R_dhdmP0MKgxPHc90,,,,,32.8594970703125,-117.21240234375,test,,I do not agree to participate,,,,,,,,,,,,,,,,,,0,0,,
